央视IPV4,#genre#
CCTV-1 综合,http://49.87.154.246:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://114.105.153.224:8888/udp/238.1.78.166:7200
CCTV-1 综合,http://123.154.30.3:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1 综合,http://60.174.137.146:9901/tsfile/live/0001_1.m3u8?key=txiptv&url=tvzb.com
CCTV-1 综合,http://27.217.213.217:18888/rtp/239.253.248.77:8000
CCTV-1 综合,http://www.liruixiang.cc:9000/udp/239.3.1.129:8008
CCTV-1 综合,http://60.174.40.117:9901/tsfile/live/0001_1.m3u8
CCTV-1 综合,http://www.furymax.top:85/rtp/239.254.96.96:8550
CCTV-1 综合,http://www.yao87.com:4022/udp/239.76.253.151:9000
CCTV-1 综合,http://gzly.softether.net:6005/udp/239.252.219.200:5140
CCTV-2 财经,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-2 财经,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-2 财经,http://221.226.4.10:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://58.220.219.14:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://pve.czjimi.com:8808/rtp/238.1.78.235:7752
CCTV-2 财经,http://114.105.153.224:8888/udp/238.1.78.235:7752
CCTV-2 财经,http://60.174.137.146:9901/tsfile/live/0002_1.m3u8?key=txiptv&url=tvzb.com
CCTV-2 财经,http://123.154.30.3:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2 财经,http://www.yao87.com:4022/udp/239.76.253.152:9000
CCTV-2 财经,http://27.217.213.217:18888/rtp/239.253.248.234:8000
CCTV-3 综艺,http://58.220.219.14:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://114.105.153.224:8888/udp/238.1.78.170:7232
CCTV-3 综艺,http://60.174.137.146:9901/tsfile/live/0003_1.m3u8?key=txiptv&url=tvzb.com
