央视频道,#genre#
CCTV-1 综合,https://itv.lat/tv/live.php?&line=1&id=cctv1
CCTV-2 财经,https://itv.lat/tv/live.php?&line=1&id=cctv2
CCTV-3 综艺,https://itv.lat/tv/live.php?&line=1&id=cctv3
CCTV-4 中文国际,https://itv.lat/tv/live.php?&line=1&id=cctv4
CCTV-5 体育,https://itv.lat/tv/live.php?&line=1&id=cctv5
CCTV-5+ 体育赛事,https://itv.lat/tv/live.php?&line=1&id=cctv5p
CCTV-6 电影,https://itv.lat/tv/live.php?&line=1&id=cctv6
CCTV-7 国防军事,https://itv.lat/tv/live.php?&line=1&id=cctv7
CCTV-8 电视剧,https://itv.lat/tv/live.php?&line=1&id=cctv8
CCTV-9 纪录,https://itv.lat/tv/live.php?&line=1&id=cctv9
CCTV-10 科教,https://itv.lat/tv/live.php?&line=1&id=cctv10
CCTV-11 戏曲,https://itv.lat/tv/live.php?&line=1&id=cctv11
CCTV-12 社会与法,https://itv.lat/tv/live.php?&line=1&id=cctv12
CCTV-13 新闻,https://itv.lat/tv/live.php?&line=1&id=cctv13
CCTV-14 少儿,https://itv.lat/tv/live.php?&line=1&id=cctv14
CCTV-15 音乐,https://itv.lat/tv/live.php?&line=1&id=cctv15
CCTV-16 奥林匹克,https://itv.lat/tv/live.php?&line=1&id=cctv16
CCTV-17 农业农村,https://itv.lat/tv/live.php?&line=1&id=cctv17
CCTV-4K 超高清,https://itv.lat/tv/live.php?&line=1&id=cctv4k
CCTV-16 奥林匹克 4K,https://itv.lat/tv/live.php?&line=1&id=cctv164k
CGTN,https://itv.lat/tv/live.php?&line=1&id=cgtn

上海频道,#genre#
上海新闻综合,https://itv.lat/tv/live.php?&line=1&id=shxwzh
上海都市,https://itv.lat/tv/live.php?&line=1&id=shds
上海ICS外语,https://itv.lat/tv/live.php?&line=1&id=shics
东方影视,https://itv.lat/tv/live.php?&line=1&id=dfys
七彩戏剧,https://itv.lat/tv/live.php?&line=1&id=qcxj
第一财经,https://itv.lat/tv/live.php?&line=1&id=dycj
法治天地,https://itv.lat/tv/live.php?&line=1&id=fztd
东方财经,https://itv.lat/tv/live.php?&line=1&id=dfcj
上海教育,https://itv.lat/tv/live.php?&line=1&id=shjy
东方购物,https://itv.lat/tv/live.php?&line=1&id=dfgw
浦东电视台,https://itv.lat/tv/live.php?&line=1&id=pdtv
五星体育,https://itv.lat/tv/live.php?&line=1&id=wxty
哈哈炫动,https://itv.lat/tv/live.php?&line=1&id=hhxd
劲爆体育,https://itv.lat/tv/live.php?&line=1&id=jbty
生活时尚,https://itv.lat/tv/live.php?&line=1&id=shss
金色学堂,https://itv.lat/tv/live.php?&line=1&id=jspd
乐游,https://itv.lat/tv/live.php?&line=1&id=qjs
魅力足球,https://itv.lat/tv/live.php?&line=1&id=mlzq
茶频道,https://itv.lat/tv/live.php?&line=1&id=cpd
快乐垂钓,https://itv.lat/tv/live.php?&line=1&id=klcd
金鹰纪实,https://itv.lat/tv/live.php?&line=1&id=jyjs
金鹰卡通,https://itv.lat/tv/live.php?&line=1&id=jykt


卫视频道,#genre#
北京卫视,https://itv.lat/tv/live.php?&line=1&id=bjws
东方卫视,https://itv.lat/tv/live.php?&line=1&id=dfws
天津卫视,https://itv.lat/tv/live.php?&line=1&id=tjws
重庆卫视,https://itv.lat/tv/live.php?&line=1&id=cqws
黑龙江卫视,https://itv.lat/tv/live.php?&line=1&id=hljws
吉林卫视,https://itv.lat/tv/live.php?&line=1&id=jlws
辽宁卫视,https://itv.lat/tv/live.php?&line=1&id=lnws
内蒙古卫视,https://itv.lat/tv/live.php?&line=1&id=nmws
宁夏卫视,https://itv.lat/tv/live.php?&line=1&id=nxws
甘肃卫视,https://itv.lat/tv/live.php?&line=1&id=gsws
青海卫视,https://itv.lat/tv/live.php?&line=1&id=qhws
陕西卫视,https://itv.lat/tv/live.php?&line=1&id=sxws
河北卫视,https://itv.lat/tv/live.php?&line=1&id=hbws
山西卫视,https://itv.lat/tv/live.php?&line=1&id=sxiws
山东卫视,https://itv.lat/tv/live.php?&line=1&id=sdws
安徽卫视,https://itv.lat/tv/live.php?&line=1&id=ahws
河南卫视,https://itv.lat/tv/live.php?&line=1&id=hnws
湖北卫视,https://itv.lat/tv/live.php?&line=1&id=hubws
湖南卫视,https://itv.lat/tv/live.php?&line=1&id=hunws
江西卫视,https://itv.lat/tv/live.php?&line=1&id=jxws
江苏卫视,https://itv.lat/tv/live.php?&line=1&id=jsws
浙江卫视,https://itv.lat/tv/live.php?&line=1&id=zjws
东南卫视,https://itv.lat/tv/live.php?&line=1&id=dnws
海峡卫视,https://itv.lat/tv/live.php?&line=1&id=hxws
厦门卫视,https://itv.lat/tv/live.php?&line=1&id=xmws
广东卫视,https://itv.lat/tv/live.php?&line=1&id=gdws
深圳卫视,https://itv.lat/tv/live.php?&line=1&id=szws
广西卫视,https://itv.lat/tv/live.php?&line=1&id=gxws
云南卫视,https://itv.lat/tv/live.php?&line=1&id=ynws
贵州卫视,https://itv.lat/tv/live.php?&line=1&id=gzws
四川卫视,https://itv.lat/tv/live.php?&line=1&id=scws
康巴卫视,https://itv.lat/tv/live.php?&line=1&id=kbws
海南卫视,https://itv.lat/tv/live.php?&line=1&id=hinws
三沙卫视,https://itv.lat/tv/live.php?&line=1&id=ssws
新疆卫视,https://itv.lat/tv/live.php?&line=1&id=xjws
兵团卫视,https://itv.lat/tv/live.php?&line=1&id=btws
西藏卫视,https://itv.lat/tv/live.php?&line=1&id=xzws
西藏藏语卫视,https://itv.lat/tv/live.php?&line=1&id=xzzyws
CETV1,https://itv.lat/tv/live.php?&line=1&id=cetv1
CETV2,https://itv.lat/tv/live.php?&line=1&id=cetv2
CETV4,https://itv.lat/tv/live.php?&line=1&id=cetv4

数字频道,#genre#
北京纪实科教,https://itv.lat/tv/live.php?&line=1&id=bjjskj
纪实人文,https://itv.lat/tv/live.php?&line=1&id=shjsrw
动漫秀场,https://itv.lat/tv/live.php?&line=1&id=dmxc
哈哈炫动,https://itv.lat/tv/live.php?&line=1&id=hhxd
欢笑剧场,https://itv.lat/tv/live.php?&line=1&id=hxjc
欢笑剧场 4K,https://itv.lat/tv/live.php?&line=1&id=hxjc4k
都市剧场,https://itv.lat/tv/live.php?&line=1&id=dsjc
五星体育,https://itv.lat/tv/live.php?&line=1&id=wxty
劲爆体育,https://itv.lat/tv/live.php?&line=1&id=jbty
新视觉,https://itv.lat/tv/live.php?&line=1&id=xsj
游戏风云,https://itv.lat/tv/live.php?&line=1&id=yxfy
生活时尚,https://itv.lat/tv/live.php?&line=1&id=shss
金色学堂,https://itv.lat/tv/live.php?&line=1&id=jspd
乐游,https://itv.lat/tv/live.php?&line=1&id=qjs
魅力足球,https://itv.lat/tv/live.php?&line=1&id=mlzq
茶频道,https://itv.lat/tv/live.php?&line=1&id=cpd
快乐垂钓,https://itv.lat/tv/live.php?&line=1&id=klcd
金鹰纪实,https://itv.lat/tv/live.php?&line=1&id=jyjs
金鹰卡通,https://itv.lat/tv/live.php?&line=1&id=jykt
嘉佳卡通,https://itv.lat/tv/live.php?&line=1&id=jjkt
财富天下,https://itv.lat/tv/live.php?&line=1&id=cftx
中国天气,https://itv.lat/tv/live.php?&line=1&id=zgtq

CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
求索纪录,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032052/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=3
求索科学,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032344/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=3
求索动物,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000010046/index.m3u8?channel-id=wasusyt&Contentid=6000000002000010046&livemode=1&stbId=3
